id,name,company,description,about,tags,feature tags,detailed features,prices,works well with
10001,Ground Control,AgEagle,"All-in-one drone software solution for collecting aerial data, creating maps, and managing your drone program across the mobile and web app.","Measure Ground Control is an all-in-one drone deployment and data management software solution for UAV pilots, small businesses and large enterprises. 

Create a mission, plan a flight, check airspace, and process your image data in a variety of formats, such as high-quality orthomosaics, 3D maps and 3D mesh, thermal imagery, digital surface models (DSM), and many more. Manage your pilots and drone fleet, create and reuse flight plans, store and maintain fly sites, build flight schedules, run safety checklists and log flight data, as well as create customized data reports.

With the ability to navigate seamlessly between the web and mobile applications, Measure Ground Control features LAANC airspace authorization with built-in Airmap technology, so you can fly any airspace safely within FAA compliant. Process and create data products with our advanced photogrammetry and image processing featuring an integrated Pix4D toolkit, or inspect and annotate image data using our custom Scopito integration, all within the convenience of a single software application.

Measure Ground Control offers multiple flight modes including Panorama, Spotlight, POI, Profile, Trace, and Tripod. Additional features can be activated for Enterprise users. Built for universal DJI compatibility.","{Agriculture, Analysis, Android, API, Browser Based, Camera, Cloud Storage, Construction, Data Collection, DSM, DTM, Flight Control, Forestry, GCP, Ground Control, Inspection, iOS, LAANC Authorization, macOS, Mapping, Mining, Mission Planning, Mobile App, Monitoring, Multispectral, Operations, Orthomosaic, Photogrammetry, Point Cloud, Processing, Reporting, RTK, Scanning, Subscription, Thermal, Topographic, US-Based, Waste Management, Windows}","{Analysis - Annotations, Analysis - Area Measurement, Analysis - Linear Measurement, Architecture - API, Collaboration - Comments, Collaboration - File Sharing, Collaboration - Link Sharing, Compliance - LAANC Authorizations, File Management - Cloud Storage, Flight Control - Corridors, Flight Control - Grids, Flight Control - Orbits, Flight Control - Terrain Awareness, Flight Control - Waypoint, Flight Planning - Pre-Made Missions, Management - Single Sign-Ons, Management - User Management, Management - User Permissions, Operations - Equipment Management, Operations - Flight Logs, Operations - Flight Planning, Operations - Incident Flagging, Operations - Tracking, Platform - Browser-Based, Platform - Mobile App, Pricing - Subscription, Processing - Contour Maps, Processing - Control Points, Processing - Digital Surface Models, Processing - Digital Terrain Models, Processing - Format Conversions, Processing - Orthomosaics, Processing - Photogrammetry, Processing - Point Clouds, Processing - RTK, Reporting - Custom Setups, Reporting - Fleet Metrics, Safety - Flight Check Logs, Safety - Preflight Checks, Safety - Weather Monitoring, Support - Email, Support - Guides, Support - Onboarding, Support - Priority Customer}",,,
10002,Nira,Nira,Nira is a platform for rending massive 3D assets in real time for interactive inspection and review.,"Nira is a collaborative platform capable of rendering massive 3D assets in real time for interactive, web-based inspection and review on any device, including smartphones and tablets.

Nira is the perfect solution for engineering, entertainment, product design, and other industries that require secure presentation, review, inspection, and organization of digital assets and designs.","{3D Models, API, Browser Based, Collaboration, Construction, Data Management, Facades, Free Trial, Inspection, Mining, Presentation, Real-Time Rendering, Reporting, Subscription, Usage-Based Pricing, Visualization, Waste Management}","{Analysis - Annotations, Collaboration - Comments, Collaboration - File Sharing, Collaboration - Link Sharing, Collaboration - Real-Time, File Management - Cloud Storage, File Management - Drap & Drop, File Management - Version History, Integrations - DCC, Interfaces - Augmented Reality, Interfaces - Navigation Tools, Interfaces - Stylus, Interfaces - Touch, Platform - API, Platform - Browser-Based, Platform - Mobile Friendly, Processing - Format Conversions, Rendering - Animation Tools, Rendering - Custom Options, Rendering - Custom Shaders, Rendering - Mesh Tools, Rendering - Real-Time}","{ [feature name: Collaborate & Track, feature description: Visual markup tools allow you to communicate precise feedback while tracking progress from start to finish.

No more guesswork: files, version histories, annotations, and comments are all organized in one place. Compare previous versions using Nira’s A/B wipe tool. View files independently or with others in a real-time collaborative meeting. Monitor the progress of assets from start to finish.] , [feature name: Inspect & Review, feature description: Quickly identify issues with Nira’s intuitive scene debugging and camera navigation tools, controlled with your mouse, keyboard, touchscreen, or even AR.

Pinpoint production issues early using Nira’s built-in mesh and animation inspection tools. Match your pipeline’s unique look with pixel-perfect accuracy by integrating custom shaders or renderers.

Nira was built for 3D and non-3D experts alike, with support for various input and camera navigation methods including mouse/keyboard, stylus, touch, and AR.] , [feature name: Pipeline Friendly, feature description: Upload your assets via drag & drop or by API — no plugins needed. Use the built-in PBR shaders, your custom shaders, or integrate your renderer. Your pipeline, your choice.

Nira supports native file types, so there’s no need to export to an intermediate format. Use our cloud, your cloud, or no cloud at all (on-premise) . Nira’s server-side components are fully containerized for easy deployment and updates.] , [feature name: Powerful & Secure, feature description: Nira’s server-based rendering architecture means your assets can be instantly and securely viewed on any device with no extra hardware required. All you need is a web browser.

Nira supports real-time Physically-Based Rendering (PBR), with UDIM textures of up to 32K and polycounts in the billions on any device, including resource-constrained mobile hardware.

Moving large amounts of data is time-consuming and vulnerable to errors. With Nira, only server-rendered pixels are sent to client devices. Share your valuable designs confidently, without the risk of piracy or misuse.] , [feature name: Share & Organize, feature description: Share assets using a simple web link. There’s no need to understand complex controls, learn a DCC, or wait for huge files to download. Send links, not data.

Use Nira as a Digital Backlot. Drag-and-drop from Nira into your DCC to quickly assemble scenes. Auto-Convert to other formats for compatibility with various DCCs or web standards (e.g., glTF and USDz). Original source files are always kept private unless you explicitly make them available.] }",,{Reality Capture}
10003,PX4,Dronecode Foundation,Open source flight control software for drones and other unmanned vehicles.,"PX4 is an open source flight control software for drones and other unmanned vehicles. The project provides a flexible set of tools for drone developers to share technologies to create tailored solutions for drone applications. PX4 provides a standard to deliver drone hardware support and software stack, allowing an ecosystem to build and maintain hardware and software in a scalable way.

Modular Architecture
PX4 is highly modular and extensible both in terms of hardware and software. It utilizes a port-based architecture – which means when developers add components, the extended system does not lose robustness or performance.

Open Source
PX4 is co-developed with a global development community. The flightstack is not just fulfilling the needs of one lab or one company, but has been intended as a general toolkit and is widely used and adopted in the industry.

Configurability
PX4 offers optimized APIs and SDKs for developers working with integrations. All the modules are self-contained and can be easily exchanged against a different module without modifying the core. Features are easy to deploy and reconfigure.

Autonomy Stack
PX4 is designed to be deeply coupled with embedded computer vision for autonomous capabilities . The framework lowers the barrier of entry for developers working on localization and obstacle detection algorithms.

Real-world Tested
Thousands of commercial PX4 based systems have been deployed worldwide. In parallel, a dedicated flight test team clocks up thousands of flight hours each month running hardware and software tests to ensure the codebase’s safety and reliability.

Flexible Compatibility
Beyond being a robust flight stack, PX4 offers an ecosystem of supported devices. The project also leads the standardization effort for the advancement of communications, peripherals integration, and power management solutions.

Safety
Great safety features including automated failsafe behavior, support for different return modes, parachutes etc. are by default already included in the codebase. The features are easily configurable and tunable for custom systems.","{Autonomous, Flight Control, Free, Local Software, Obstacle Avoidance, On-Board Software, Open Source, Perpetual License, SDK}","{Architecture - Easily Configurable, Architecture - Modular, Architecture - Open Source, Flight Control - Autonomous Modes, General - Widely Used, Platform - On-Board Software, Pricing - Permissive License, Safety - Failsafes, Safety - Parachutes, Safety - Return Modes, Support - Forums, Support - Guides}","{ [feature name: Autonomy, feature description: PX4 is designed to be deeply coupled with embedded computer vision for autonomous capabilities . The framework lowers the barrier of entry for developers working on localization and obstacle detection algorithms.] , [feature name: Configurability, feature description: PX4 offers optimized APIs and SDKs for developers working with integrations. All the modules are self-contained and can be easily exchanged against a different module without modifying the core. Features are easy to deploy and reconfigure.] , [feature name: Flexible Compatibility, feature description: Beyond being a robust flight stack, PX4 offers an ecosystem of supported devices. The project also leads the standardization effort for the advancement of communications, peripherals integration, and power management solutions.] , [feature name: Modular Architecture, feature description: PX4 is highly modular and extensible both in terms of hardware and software. It utilizes a port-based architecture – which means when developers add components, the extended system does not lose robustness or performance.] , [feature name: Open Source, feature description: PX4 is co-developed with a global development community. The flightstack is not just fulfilling the needs of one lab or one company, but has been intended as a general toolkit and is widely used and adopted in the industry.] , [feature name: Permissive License, feature description: PX4 is free to use and modify under the terms of the permissive BSD 3-clause license. Which means the software also allows proprietary use and allows the releases under the license to be incorporated into proprietary products.] , [feature name: Powerful Safety Features, feature description: Great safety features including automated failsafe behavior, support for different return modes, parachutes etc. are by default already included in the codebase. The features are easily configurable and tunable for custom systems.] , [feature name: Real-world Tested, feature description: Thousands of commercial PX4 based systems have been deployed worldwide. In parallel, a dedicated flight test team clocks up thousands of flight hours each month running hardware and software tests to ensure the codebase's safety and reliability.] }",,"{Mavlink, Q Ground Control, ROS}"
10004,Reality Capture,Capturing Reality,Photogrammetry software for creating ultra-realistic 3D models from a set of images and/or laser scans.,"RealityCapture is photogrammetry software for creating 2D and 3D models out of unordered photographs or laser scans without seams. The most common fields of its current use are cultural heritage, full body scanning, gaming, surveying, mapping, visual effects and virtual reality in general.

Inspect your data directly in the field and add missing photos. Leave the job site with ready data. Process 3D models from 400 photos on a standard laptop in 10 minutes. RealityCapture’s low hardware requirements allow you to check your data anywhere. Direct support of PPK/RTK flight logs dramatically reduce the users work directly in the field and post-processing time in RealityCapture.

One-click virtual assistant in a creation of geo-referenced maps and/or models. It is an easy and intuitive tool enabling you to have end-to-end results in one place. RealityCapture also allows you to combine multiple coordinate system in one project.

Powerful AI classify tool RealityCapture can distinguish bare ground from other objects and generate digital terrain models. In addition to the automatic AI classify users have the option to edit the classification by assigning the classes manually.

Meet your deadlines and create assets efficiently by being able to run 4 instances of RealityCapture at the same time.","{3D Models, AI, Camera, Digital Twin, DSM, DTM, Facades, Free Trial, Laser Scanning, Local Software, Mapping, Orthomosaic, Perpetual License, Photogrammetry, Point Cloud, Presentation, Reporting, RTK, Scanning, Subscription, Surveying, Usage-Based Pricing}",,"{ [feature name: Additional:, feature description: - Import Photos/Video	 
- Import Laser Scans	 
- Merging photos with laser scans	 
- On site processing
- Triangular watertight meshes	 
- Importing of custom meshes and UV maps	 
- Coloring/Texturing	 
- Normal and Displacement Maps	 
- Re-projecting textures from high poly to low poly model	
- Control points and geo-referencing	 
- Automatic markers detection	 
- Ortho-projections/Mapping	 
- Generation of DSM/DTM	 
- Distance Area and Volume Measurements	 
- Command Line Interface] , [feature name: Create and Edit Models, feature description: Coloring/Texturing, Normal and Displacement Maps, Re-projecting textures from high poly to low poly model, Control points and geo-referencing, Automatic markers detection, Ortho-projections/Mapping, Generation of DSM/DTM, Distance, Area and Volume Measurements, Command Line Interface.] , [feature name: Multiple Data Types, feature description: Import Photos/Video, Laser Scans, Merge photos with laser scans, Triangular watertight meshes, Importing of custom meshes and UV maps.] }",,"{Nira, Sketchfab, Unity, Unreal Engine}"
10005,Airworks Automate,Airworks,AI-powered software that turns remote sensing data into pixel-accurate basemaps.,"AirWorks is an AI-powered autonomous drafting software for the built world. Our platform allows AEC firms to quickly produce CAD drawings from their aerial images, shortening the traditional process by weeks (and even months!). Algorithms use computer vision and machine learning to autonomously categorize your data and produce CAD outputs with pixel-level accuracy.

AI-powered software that turns remote sensing data into pixel-accurate basemaps.

AI models are able to identify and categorize points in aerial imagery, making it possible for our software to distinguish between feature types, resulting in the pixel-accurate basemaps.

AirWorks can provide value to any firm looking to generate engineering plans and surveys from aerial data sets.","{3D Models, AI, Analysis, Basemap, Browser Based, Camera, Cloud Processing, Drafting, Feature Extraction, Free Trial, Inspection, Lidar, Planimetric, Point Cloud, Processing, Surveying, Topographic, Usage-Based Pricing, US-Based}",,"{ [feature name: Additional Features, feature description: Some projects require additional features which are available  upon request.

- Utility Structures
- Fire Hydrants
- Overhead Wires
- Fences
- Docks
- Decks
- Vegetation Split
- Gravel
- Utility Poles
- Walls] , [feature name: Autonomous Features, feature description: AirWorks Automate™ is currently able to generate linework on 14 layers autonomously, including both planimetrics and topography.

- Topography
- Roads
- Buildings
- Sidewalks
- Pavement Markings
- Curbs
- Vegetation
- Water Surfaces
- Manholes
- Drains
- Railroads
- Solar Panels
- Concrete Pad
- Contours From
- Breaklines] }",,
10006,Nubigon,Nubigon,Software for realistic point cloud visualization and animation.,"NUBIGON is a point cloud visualization and animation software for the reality capture industry. Efficiently engage with massive datasets, easily combine deliverables, and effectively showcase your services.

- Display point clouds & related deliverables
- Seamlessly interact with massive point clouds
- Produce breathtaking videos & amp; visuals
- Extract as-built site conditions","{3D Models, Browser Based, Camera, Digital Twin, Free Trial, Laser Scanning, Local Software, Mapping, Orthomosaic, Perpetual License, Point Cloud, Real-Time Rendering, Reporting, Scanning, Subscription, Surveying, Visualization}",,"{ [feature name: Combine Assets, feature description: - Overlay point clouds with CAD drawings
- Jointly view point clouds and BIM models
- Enrich point clouds with meshes] , [feature name: Enrich & Explore, feature description: - Enjoy seamless point cloud navigation
- Explore projects with gamepad controllers 
- Add lights and annotations for immersive experiences] , [feature name: Extract As-Builts, feature description: - Interactively extract point cloud sections
- Accurately generate CAD drawings for as-built modeling
- Extract surfaces from point clouds for BIM and CAD] , [feature name: Generate Visuals, feature description: - Quickly capture promotional screenshots
- Extract high-quality and accurate orthophotos
- Publish point clouds online via Sketchfab] , [feature name: Produce Videos, feature description: - Generate appealing point cloud fly-throughs
- Unveil details with clip animations & versatile camera paths
- Develop videos for your clients, website & social media] , [feature name: Visualize Point Clouds, feature description: - Display point clouds of any size at original accuracy
- Render point clouds with unique realism & performance
- Choose from an ever-growing list of display modes] }","{ [price name: Annual, price: 75.00 / month, price notes: Billed Annually (taxes may apply)

$899 Annual Total (taxes may apply), price features: For power users

- Unlimited number of projects of any size.
- User support & software updates are included throughout the subscription.
- License transferable between two devices.
- Free Training Session], [price name: Monthly, price: 99.00 / month, price notes: Billed Monthly (taxes may apply), price features: For starters

- Unlimited number of projects of any size.
- User support & software updates are included throughout the subscription.
- License transferable between two devices.
- Free Training Session], [price name: Three-Month, price: 89.00 / month, price notes: Billed Three Months $89/mo (taxes may apply)

$267 Three-Month Total (taxes may apply), price features: For specific projects

- Unlimited number of projects of any size.
- User support & software updates are included throughout the subscription.
- License transferable between two devices.
- Free Training Session]}","{GeoSLAM Connect, Sketchfab}"
10007,Propeller,Propeller Aero,"End-to-end software to quickly and accurately track, map, and measure worksites.","Propeller's 3D drone mapping software is an end-to-end solution to quickly and accurately track, map, and measure your worksite. A turnkey 3D drone mapping and data analytics solution for civil construction and earthworks operations. Verifiable survey-grade accuracy down to a 1/10ft.

Propeller’s end-to-end software platform uses drones to simplify collection, photogrammetry to streamline data processing, and 3D maps to manage progress across the project lifecycle.

Share data across your organization:
Give everyone on your team instant visibility into the status and progress of a worksite. Propeller centralizes your project documentation to boost collaboration and give surveyors, engineers, foremen, and site managers the confidence to work safer and smarter.

Decrease operating costs at every turn:
By surveying with a drone, you’re decreasing cost per survey, while arming your crew with the up-to-date progress data they need to accomplish more in less time. With a complete visual progress timeline, you’ll squash conflict, reduce rework, and minimize fuel burn.

Keep pace with a rapidly changing industry:
In time, all earthworks projects will be documented and surveyed using a drone. In fact, many industry leaders have already invested in drone surveying to stand out in an increasingly competitive market and uphold their commitment to innovation, quality, and transparency.","{3D Models, Analysis, Autonomous, Browser Based, Camera, Cloud Processing, Cloud Storage, Collaboration, Construction, Data Collection, Data Management, Drafting, Flight Control, Mapping, Mining, Monitoring, Operations, Orthomosaic, Photogrammetry, Planimetric, Processing, Reporting, Scanning, Surveying, Topographic, Usage-Based Pricing, Waste Management}",,"{ [feature name: Add contour lines, feature description: With the ability to add different granularity between minor and major contours, you can reduce clutter on the map when viewing on a screen or in PDF format] , [feature name: Add grid lines and page orientation, feature description: You now have the ability to customize grid spacing and positioning to ensure the grid layout fits the whole map area
You can rotate the map to any angle, including project north, which provides accuracy and flexibility for site conditions] , [feature name: Adjust heat map grading, feature description: Customize the heat map color and scale to clearly highlight appropriate areas of cut and fill, making the map easier to interpret
With more color options, you can now add more pairs of colors to the heat map (up to a maximum of 8 colors or 4 pairs of colors)
Choose between smooth and stepped colors, plus you can now easily reset the heatmap to the default colors] , [feature name: Cloud-based access, feature description: No need to download and install any programs. Just log into Propeller on your browser and get to work.] , [feature name: Composite surveys, feature description: Fly and upload small, active sections of your site and then merge them with other surveys to form a more holistic view of your worksite.] , [feature name: Design file workflows, feature description: Compare your most recent survey or new design against current design surfaces created from a GeoTiff, TTM or DXF file to measure progress.] , [feature name: Drag-and-drop lidar, feature description: Integrate Propeller into your existing workflows with drag-and-drop upload for preprocessed lidar data. View point clouds as 3D terrains.] , [feature name: Easy-to-use analytics tools, feature description: Measure volumes, surface areas, road grades, elevation, cross-sections, and cut/fill in just a few clicks.] , [feature name: One-click reporting, feature description: Generate PDF and CSV reports detailing the current state of a project and quickly share with all your stakeholders.] , [feature name: Share data across your organization, feature description: Give everyone on your team instant visibility into the status and progress of a worksite. Propeller centralizes your project documentation to boost collaboration and give surveyors, engineers, foremen, and site managers the confidence to work safer and smarter.] , [feature name: Terrain cleanups, feature description: Filter out terrain inaccuracies or obstructions in seconds, so you know your quantities are accurate.] , [feature name: Timeline slider, feature description: Layer survey over survey to document progress and track changes across the project lifecycle so there's no question about what got done and when.] ,NULL}",,
10008,Correlator3D,SimActive,"Photogrammetry tool for processing large scale mapping projects from drone, aircraft and satellite imagery.","Correlator3D is designed for larger projects and allows for wider flexibility of image sources across any UAV or drone, all cameras & sensors, aircraft, and satellites.
Processing Capability Example

Specifications:
- Number of images: 300
- Image GSD: 3 cm
- Frame size: 20 MP
- DEM resolution: 15 cm
- Orthomosaic resolution: 3 cm
- Number of PCs: 1

Processing Time:
- Aerial triangulation: 9 min
- Digital surface model: 21 min
- Digital terrain model: 0.5 min
- Orthophotos: 7 min
- Orthomosaic: 7 min
- Total: 46 min","{3D Models, Agriculture, Analysis, Camera, Cloud Processing, Cloud Storage, Construction, DEM, Drafting, DSM, DTM, Emergency Response, Feature Extraction, Forestry, Free Trial, GCP, Laser Scanning, Lidar, Local Software, Mapping, Mining, Multispectral, Orthomosaic, Perpetual License, Photogrammetry, Point Cloud, Processing, RTK, Subscription, Surveying, Thermal, Topographic}","{Analysis - Area Measurement, Analysis - Change Detection, Analysis - Linear Measurement, Analysis - Slope Measurement, Architecture - Modular, Compatibility - Flexible, Interfaces - Command Line, Processing - Colourization, Processing - Control Points, Processing - Digital Surface Models, Processing - Digital Terrain Models, Processing - Distributed Machines Processing, Processing - Feature Extraction, Processing - Multi-Core Support, Processing - Orthomosaics, Processing - Orthorectification, Processing - Photogrammetry, Processing - Point Clouds, Processing - RTK, Processing - Tie Point Tools, Support - Email, Support - Forums, Support - Guides, Support - Knowledgeable, Support - Technical, Support - Videos}","{ [feature name: Advanced Photogrammetry, feature description: - GCP Extraction
- Point Cloud Colorization
- Script Mode & Command Line
- NDVI Map Creation
- 3D Change Detection
- Volume Calculation
- DEM Inspection
- DEM Contour Extraction] , [feature name: Distributed Processing, feature description: - Boost your power using multiple PCs
- Significantly accelerate processing speed
- Deliver larger projects faster
- Profit from the computing power available on your network] , [feature name: Editing Tools, feature description:     GCP Creation
- Tie Point Editing
- DEM Editing
- Mosaic Editing
- 3D Feature Extraction] }",,
10009,Instant NeRF,Nvidia,Neural rendering model that learns a high-resolution 3D scene in seconds — and can render images of that scene in a few milliseconds.,"Nvidia Instant NeRF (Neural Radiance Fields) turns a collection of still 2D photos or videos into 3D digital scenes in a matter of seconds.

Instant NeRF uses AI to approximate how light behaves in the real world, enabling you to reconstruct a 3D scene from a handful of 2D images taken at different angles. The NVIDIA Research team has developed an approach that accomplishes this task almost instantly — making it one of the first models of its kind to combine ultra-fast neural network training and rapid rendering.

NVIDIA applied this approach to a popular new technology called neural radiance fields, or NeRF. The result, dubbed Instant NeRF, is the fastest NeRF technique to date, achieving more than 1,000x speedups in some cases. The model requires just seconds to train on a few dozen still photos  — plus data on the camera angles they were taken from — and can then render the resulting 3D scene within tens of milliseconds.

Instant NeRF has a basic GUI once a model is launched, however installation and general usage of the tool is best suited towards users with at least some basic coding experience. There are enough community guides and tutorials that a less technical user could still get themselves started into Instant NeRF.

Notes:
- Currently Instant NeRF is only able to be installed by downloading a GitHub repository and manually following the installation guide (both video and written guides are available on the repository).

- Pre-built versions are only currently available for some Windows GPUs.

- Linux users will need to build Instant NeRF themselves following the repository guide.","{3D Models, AI, Camera, Digital Twin, Free, Local Software, Monitoring, NeRF, Open Source, Photogrammetry, Processing, Real-Time Rendering, Scanning, Visualization}","{Architecture - Open Source, Interfaces - VR, Pricing - Permissive License, Processing - AI, Processing - JSON Keyframes, Processing - NeRF, Processing - Photogrammetry, Processing - Videos, Rendering - Animation Tools, Support - Guides}",,,
10010,Mavlink,Drone Code Foundation,Lightweight messaging protocol for communicating with drones and between onboard drone components.,"MAVLink is a lightweight messaging protocol for communicating with drones (and between onboard drone components).

MAVLink follows a modern hybrid publish-subscribe and point-to-point design pattern: Data streams are sent / published as topics while configuration sub-protocols such as the mission protocol or parameter protocol are point-to-point with retransmission.

Messages are defined within XML files. Each XML file defines the message set supported by a particular MAVLink system, also referred to as a ""dialect"". The reference message set that is implemented by most ground control stations and autopilots is defined in common.xml (most dialects build on top of this definition).

Code generators create software libraries for specific programming languages from these XML message definitions, which can then be used by drones, ground control stations, and other MAVLink systems to communicate. The generated libraries are typically MIT-licensed, and can therefore be used without limits in any closed-source application without publishing the source code of the closed-source application.","{Flight Control, Free, Local Software, On-Board Software, Open Source, Operations}",,,,{PX4}
